	text	category
0	 hoo mammokka police vesham aaha anthas	Positive
1	 Oru rekshayum illa...kidilam kannu nananjupoyi	Positive
2	 Ikka     waiting.........	Positive
3	 Raju Ettante Oro Shorttum Ijathi ppwli	Positive
4	 Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #	Positive
5	 Last aa chadi adi.... Uff.        Frm an ettan fan	Positive
6	 1 day achu 5 million views kooda varla	unknown_state
7	 heavy mass	Positive
8	 I a m a katta mammookka fan	unknown_state
9	 Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.	Mixed_feelings
10	 Nte ponno oru raksha Illa Ennaaa Trailer	Positive
11	 Mammookka fans like adi. Love u ikka	Positive
12	 Dislike adikan keri like adichath njaan mathramaano?	unknown_state
13	 Enada Oru English comment kuda kanom	unknown_state
14	 Oh mass o mass laletta katta waiting....Bgm	Positive
15	 Ith powlichu vaariyitte pooku....	Positive
16	 7.3k dislike adichavanmaarod onne parayanollu......  OMKV	Negative
17	 June 16 Keralakara ilakki marikkum ikka	Positive
18	 Ithu  Verum unda alla Machinegun  Nirachum undayulla machinegun	unknown_state
19	 Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	Mixed_feelings
20	 Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa	Positive
21	 vaada a otta vili athu mathi .athu maathram mathi	Positive
22	 Babynet  oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like	unknown_state
23	 #mamangam uff ijjathi trailer oru rakshem illa poli	Positive
24	 Nalla polippan school life kanam katta waiting for you Mammukka	Positive
25	 Trailer kande oru pidium illatha aralum	unknown_state
26	 Feeling sad am studying in punjab ivde release aakuvo	Negative
27	 Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??	unknown_state
28	 Padam release cheyunne annu thanne kanumanne urapullavar Like adike machanmaree	unknown_state
29	 Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne	Mixed_feelings
30	 Thirunavayile arenkilum undo  Trailer like cheyan marakanda	unknown_state
31	 INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer	Positive
32	 movie kandathinu shesham onum kudi trailer kanan vanaver like	unknown_state
33	 Mammoka fans and laletan fans Katta waiting	unknown_state
34	 Eee eid ikka ang edutthu ennu paranjekk	Positive
35	 Ahaa hahaha ha.... Nte ponnikkka mutheeee	Positive
36	 Fan show set...arokke fan showkk pokunnu und	unknown_state
37	 Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....	Positive
38	 Ithin dislike addikunavar lokka tholvikallayirkkum	Positive
39	 Ini nammalarenkilum chathale sarkar sradhikku ennano... ith porikkum	unknown_state
40	 FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi	Positive
41	 Feel good movie 2019 le best movie aavum ithu urappu	Positive
42	 1k dislikes Ella dislike pannikalkum endhe naduviral namskaram	Negative
43	 Mohan Lal Katy’s fans onnn like Chevu Chet daaaa Lal attan	unknown_state
44	 2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa	Positive
45	 Eante ponnooo romanjam vannu poeonnum parayanilla	Positive
46	 Eth oru onnonnara padam aavum enn urappullavar like adi	Positive
47	 Surajettan kunjunni mash ayi abhinayichal powlikku.m	Positive
48	 Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta	Positive
49	 Raaza..u Do	unknown_state
50	 Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.	Positive
51	 Lalettan fans full support und makkaleee......	Positive
52	 Keralathinu purathu ninnulla anyaphashakar adi like	unknown_state
53	 All Kerala mohanlal fans nte power onnu kanichu kodukk.....like ..	unknown_state
54	 Adhikam hype venda	Negative
55	 Ithu kidukkum	Positive
56	 am a lalettan fan... but lalettane arum pokendaa... director prithviannuu	unknown_state
57	 Padam 1 st day kaanum athu urappu.	Positive
58	 masss effect	Positive
59	 Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power	Positive
60	 Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...	Positive
61	 Costumes Irshad khan Cherukunnuijj Poli mutheeee	Positive
62	 Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle	Mixed_feelings
63	 aaa last bhakam marana mass #mammookka	Positive
64	 mammokka thug life mashup	unknown_state
65	 Big B 2 pole und	Mixed_feelings
66	 LALETTAAA MUTHEE POLICHU	Positive
67	 Ee pennu evide poyaalum ithaanallo avastha..	unknown_state
68	 Edhu kondu prethiraj neruthiyal Kollam	Positive
69	 Ithipo kadha muzhuvan undalo ithilu ? ?	unknown_state
70	 Mammotiyude look divasam kudunthorum kodi varikayannallo	Positive
71	 Last black dress sredhichavar ivide like	unknown_state
72	 Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	Negative
73	 Padam pottum ennu urapulavarku evide like adikam	unknown_state
74	 malayala sinimakkoru puthiya charithram pirakkatte !	Positive
75	 Koora padam	Negative
76	 Ennalum ente Idivettu suguna ninne ithilu kandillalo	Negative
77	 Oru  mikacha thriling movie aavum	Positive
78	 Undakku shesham mammookayude adutha natural movie	Positive
79	 Jayasurya chyuna a ella characters um pwoliya... Shaji pappen	Positive
80	 Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum	Positive
81	 apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille ??	unknown_state
82	 Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.	Positive
83	 YouTube struck ayoooo Views 172 k Like 162k Unlike 15k Laletaaaa	unknown_state
84	 Trailer I'll tannaayy full story uondu	Positive
85	 Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu	Positive
86	 Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam	Positive
87	 Rajayude andhya kurbana chollan avan varunuu... #LUCIFER	unknown_state
88	 Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu	Positive
89	 Annum ennum ennum ikka mass 🤩🥰	Positive
90	 vere level trailer and bgm gopi sunder musical	Positive
91	 Padam irangiyittu  parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha	Mixed_feelings
92	 E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..	Positive
93	 Jelli kettinte trailer bgm pole ind	Positive
94	 50 pathu pravasham kandavar adi like	unknown_state
95	 E traileril ntha chekutan undo	Positive
96	 Adh suraj aanenn sound kett maathram kandpidichavar adi like..	unknown_state
97	 mallu students canada arelum? like here	unknown_state
98	 kalakki Kalakki. Onnum parayan illa	Positive
99	 Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.	Positive
100	 L U C I F E R	unknown_state
101	 Lucifer kaanan povunnathinu munpu trailer kaanan vannavar aarokke	unknown_state
102	 Vere level of making nd lalettan was awesome	Positive
103	 M  A  M  A  N  G  A  M	unknown_state
104	 Next Week china povan irikkana njan ithu kandeche njan povathullu	Positive
105	 Dislike adichavarodu pucham maathram.. Lal fansine uddeshichu maathramanennu thettidarikallu ketto🤣	unknown_state
106	 peter hein nte stunt ella cinema il um ore pattern aanallo	Mixed_feelings
107	 Thuvanathumbikalile jayakrishnane orma vannavar like adi	unknown_state
108	 Tovino ishtam Tovino fans like adi ആൻഡ് സപ്പോർട്ട് me	unknown_state
109	 Ohoo mamooka powlikum ee jati tralier making kiduwee	Positive
110	 Kalabahavan shajon laleetane chathikkum athe urappa trailer kandappo manasilayii	unknown_state
111	 Chicking ile freezer il poyi nokkiya mathi aale kittum	unknown_state
112	 Onnum parayanilla. Vere leval movie ayirikkum	Positive
113	 Cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam	unknown_state
114	 Lufier trailer kandu odiyan kandavar undo	unknown_state
115	 Raju ettaaaa ningal Vera level	Positive
116	 Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI ലാലേട്ടൻ	Positive
117	 Late aayi vannalum latest aayi varuvenne	Positive
118	 Lokal poyi Madhura raja teaser kanada	Negative
