	Unnamed: 0	Sentence	Label
0	0	first like button vijay setupati fans	unknown_state
1	1	vetri ne dhanusha pudiche thongitu iru....	Positive
2	2	ithu romba naal ku munnadi short film'a pathathu! (short film name: kekka bukka kekka bukka)short film'e super'a irrukum!	Positive
3	3	trending no1 in srilanka.... june 16	Positive
4	4	maja thala marana  mass thala	Positive
5	5	thala thala thala solla vaarthtai illai	Positive
6	6	jayam ravi thalaivar kitta bagiranga mannippu kekkalanna indha padatha purakkanippom twitter hashtag pathingala thalaivar fans power ra boycot comali	Positive
7	7	padam asuran madhiri oduna na motta adichikuren	Mixed_feelings
8	8	semma trailer super surya fans like	unknown_state
9	9	surya is super surya fans like adikku makkaallleeee	Positive
11	11	94k likes for 300k likes less then 3hrs	unknown_state
13	13	mokka bhairava teaser ela but naa suriya fan taan	Positive
14	14	enuku visuvasam padatha pathatha parithavama iruku..	Negative
15	15	surya ku love seen irukadhu polaiyee🤔🤔🤔🤔	Negative
16	16	ayoo vanthuruvanga ithu like panu athuku like panu nu 🤐🤐	Negative
17	17	who all r waiting for 1 million likes	Positive
18	18	pakistani movi na indian movi ka record tor dia salman khan b hairan open link	Negative
19	19	marana massssss..... love you thalaiva.	Positive
20	20	vlayaadittu pozhuthu poarathukkulla veettukku seekkiram vandhuruppaanu amma solluvaangka. ethukku sonnanganu jada trailer paakkumpoathu theriyuthu.	Positive
21	21	tevidiya pasanga naxalite ku support panranunga	Negative
22	22	ngk teaser marana mass.....padam vera levela irrukka pogudhu....	Positive
23	23	thala ne va thala unakaga naanga irukom thala... thaa thala vararu oram ponga da...	Positive
24	24	you like natpe thunai like and message murruku comment	unknown_state
25	25	super .... star...  chitti ..... rockzz....	Positive
26	26	anbu ezhuchi ithula thodanguthu da marana waiting	Positive
27	27	vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe	Positive
28	28	aayutha ezhuththil raththa sarithiram varaintha inththa nantha koopaalan kumaran sathippaan... ippadikku uzhaippaalar thina naayagan rasigan	Positive
