	Unnamed: 0	Sentence	Label
0	0	sorry sir nim yella video nan nodidini yeno manku badidu nodona hantha download madidde e video nodi delete madidini sir thanks	Mixed_feelings
1	1	bro nin ello hogbutte bedu bro	Positive
2	2	pruthvi umber aen  guroo neenu national award winning actor guroo neenu.ninna natanege nanantu fyaan maaraya.eshthu energy idyo ninnalli	Positive
3	3	surr ashwatthaama aaa vaidyara manege baruttidda anta heludri avanige hege  gottu avaru vaidyaru anta matte mukhyavaagi mahabharata kaaladalli hindi	unknown_state
5	5	swalpa jasti bildup ayitu annisutte.	Negative
6	6	rakshit shetty.....navane shree mannarayana...	Positive
7	7	super guru munduvarisi	Positive
8	8	tik tok super app anna	Positive
9	9	yan guru tik  tok  trolars mirisibite guru tik tok stars nin  video nodidre madiro videos muti muti nodkobeku atara idea	Positive
10	10	historynbefore sanvinafter shanvi	unknown_state
11	11	namma kannada chitrarangadalli iruvashtu hottekichchu janagalu bere yaava bhasheyalloo siguvudilla entha dodda vyakti maga ivaru ashwath saar namma kannada chitrarangada meru nataru avara maganige identha  pajiti...namma kannada chitrarangadalli yaarige yaaroo sahaaya maduvudilla nooraru koti hanaviddaroo avaru swarthy galaagiruttaare idhe kaaranakke rajinikanth arjun sarja rantaha meru nataru namma bhashe bittu  para baashege hogiruvudu...	Negative
12	12	swabhimani devata purushana maga... takkante idaare	Positive
13	13	super song 100 days pakka	Positive
14	14	punyathma andre evare	Positive
15	15	challenging starr darshan abhimaanigala kadeyinda ee chitravu shatadinotsava acharisali endu shubha korutteve ...............................chitradurga dii baas abhimaanigala balaga	Positive
16	16	yudda maadabeku hogabaradu katukara(rasmika) nmunde bhagavthgeethe	unknown_state
17	17	trailer kooda 6 dina trending alli ittu	Positive
19	19	insta link akiddini nodi brother	Positive
20	20	promotion chennag madilla	Negative
21	21	super tippa story	Positive
22	22	idhe thara kannada  chalanachitragalu charitre srushtisali ide charitre srushtisuva avataara  avane shrihmann narayana	Positive
23	23	chandan shetty troll video neevu nodi negadde idre naav guarantee	Positive
24	24	@nandi parthasarathi leey neenu olleavlu aadre side gay iru.... adhu bittu tika ellah matadoke bandre... gottala	Negative
26	26	kathe tumba ista aythu..	Positive
27	27	@hanumanthappa h s q1*50	unknown_state
29	29	ee chitravannu mattomme chitramandiragalige tanni namma kannadigaru kaibiduvudilla mattomme release maadi	Positive
30	30	yaaru film nodkobandu keltiroru like maadi	Positive
31	31	o my god wt a acting bro really my eyes are wet nice concept keep it up bro now a days alli avarage thumba bejar ago tara madatara jana naavu tilidu antavaru agi hag madidre hege heli naavu avara baavanegalige spandisibeku alva avaralli kuda thumba jana achive madidara tamil naadu alli oblu i.p.s agidale enu bala jana ne edara pls frds avarage naavu supportive agirbeku alva nice concept anna	Positive
32	32	super gelaya a nan sulege magalu chinadorage hutidale	Negative
33	33	shankarnag sir & uppi sir nantara obb uttama actor & director sikkidane nam kannada industry ge rakshit shatty	Positive
34	34	hands up !!!	unknown_state
35	35	chandan shetty troll video neevu nodi negadde idre naav guarantee	Positive
36	36	sir naanu helabekiddanna thumba channagi helidira. nimma mathugalashte sumadura hrudaya sparshi agide. pls yelladru nodi 1 sala adru. olle anubhava beku antha iroru...	Positive
37	37	boda sheera abhimaanagalu illi like maadi	Positive
39	39	bahala  suuper gii  baiddiddaara   anna	Positive
40	40	sir in mamata kotigobba	Positive
41	41	shivu patil	unknown_state
42	42	hello hindi song	unknown_state
43	43	i feel sandalwood have not lost shankarnag after seeing rs2	Positive
44	44	@nandi parthasarathi nimmvga nimmkga ittini illi ninuge 50%off ba	Mixed_feelings
45	45	super video jaii hind jaii bharata maate	Positive
47	47	super  song	Positive
48	48	rakshit shetty kannadada bele kattalaagada manikya	Positive
49	49	uttara kannadada hemme yaya nutt and namma mecchina	Positive
50	50	yes bro tiktok ban agbeku.	Positive
51	51	anna super agi edit madidiya	Positive
52	52	china enana utpaadane  madali ninu ninadesha utpaadane maadida vastugalu upayogisu  namma ginta doddadenu alla  bharatiyarannu  ninna athi budivantikeyinda kinchaparichabeda	Negative
54	54	move chenagi irli hero ge olledagli  tumbane kasta padta i darep	Positive
55	55	pakka engeneering mind bro ....song	Positive
56	56	dii baas abhimaanigala kadeyinda aall dhee beshta suuper trailera	Positive
