	No.	Sentence	label1	label2
2783	3493	Bhaijaan muslim wali bat such hai ya fek hai plz reply sallu bhai	1	1
1651	2066	Aswlkm sahre hogye apki	2	2
2280	2722	Salu bhai mary yaqen hy ap mary ko lft karawogy.	1	1
2009	2441	Aap ko letter b likhy hain shayd ap tk puhnch jaye....	1	1
2649	3178	kaha gye bhaijaan???	1	1
3394	4316	I knw sallu i dnt belive fake news u dnt wry ...	0	0
1553	1963	chal beta selfi le le.......hi.bhaijaan	1	1
3591	4536	vrryy vrrrry nicee trailor	2	2
1824	2250	kya bhai aaj ki shaam salman bhai ke fans ke naam	1	1
1427	1809	Apne dil jeet lia bhai...Allah bless you	2	2
2188	2621	4 baj gye lekin bhai abhi gayab h	1	1
697	889	sab ka Bhai meri Jan Salman khan	2	2
2401	2854	kaya huya, kaha hai app,hum logo ko murga to nehe banareha hai?	1	1
2924	3782	loveeeeeeeeeeeeeeeeeeeeeeee uuuuuuuuuu salmaannnnnnnnmnmm sir	2	2
2120	2553	Bajrang bali ki jai	2	2
2263	2704	Bhai hume fool to nahi bana rahe na	1	1
2575	3065	Sallu 4 Baj gaye hai aja o na	1	1
3389	4311	Mai WO pars buy Kar k use mai paise rakh k use gift reaping karwaa k eid waale din namaz k baad jab Ammi se gale milkar eid Mubarak karungi tab mai ye gift unhe dedungi	1	1
3636	4607	tri maa ka choot	0	0
2793	3524	jab 1 lakh ppl love u love u likhenge how will u reply poor u	2	2
3137	4054	Sana khan add karo mujhe	1	1
2155	2588	pls bhai kuch btao ...BB ke bare me	1	1
137	193	maharani laxmi bai, tatya tope , Subhas chandra bos , ajad , Bhagat etc are the true leaders	2	2
696	888	Nice pic salman bhai aapne to sab ko diwana bana rakha hai	2	2
3528	4457	Super duper hit.rahegi bhai	2	2
1477	1876	awesome ....agr isi trh sare mulk smzdar ho jae to dusmni rhegi hi nhi......plz #Being_Human	2	2
639	829	sallu bhai <3	2	2
1294	1650	Zara pucho Salman se k kitna #Roza raha	1	1
1520	1930	Bhai help.me plzzz help.me	1	1
1179	1509	Kute begherat khabees benamos kafir k bache teri itni himat	0	0
1958	2387	hiii ab to 4 baj gye	1	1
2110	2543	nai ata kamina salman khan sabko pagal banara lolz	1	1
171	237	Lega rhia purei takt k sath sbhi bharrt venseyo ki duaey ap k sath hai	2	2
2114	2547	bhai kha hai aap	1	1
1916	2344	salman bhai mai aapka bahut bada fan hu aapke sath filmo me kam karna chahte hai	1	1
2317	2760	Bhaii aao na kha ho	1	1
128	180	bharat ka shan narendar modi lakin bihar ka kya hoga modi jee	1	1
3658	4634	Bhai movie hit hai tention lene ki zaroorat nahi	2	2
