	Unnamed: 0	Sentence	Label
0	0	sathyam parayanallo trailer vijarichathra angudu kalangiyilla....nnalum all the best	Mixed_feelings
1	1	jayettaaaa ente chunkkeee🥰 sabu chettan 🥰	unknown_state
2	2	naayakanmaare kandu kazhinja sthithikku inii villante oozham fafa	unknown_state
4	4	1:38 ee scene kaanaan vendi trailer kaanunnath aarokke ??	unknown_state
5	5	mamakum kazhinjaal shylocin nalla hyp kodukanam	Positive
6	6	karaoke upload cheuukaya my chanal subscribe plz	unknown_state
7	7	virus trailer kande evide vannavare undo	unknown_state
8	8	ratchasan bgm adichu mattiya gopi sunder‍	Negative
9	9	aattam aittamalla oru amattikkan idivettu teaser  ikka marana mass	Positive
10	10	appo raja inte anniyan prithviraj avide?	unknown_state
12	12	eee dialogue matt langwej kalileku dabbu cheyyumbo engane... yirikkum alle	unknown_state
13	13	ittichante vaka oru sample vedikettu koodi	unknown_state
14	14	teaser kandu ,ee songum kandu.ellarum ithokke kandittu avarku oru samshayam ee mamangathil unniyettan (unni mukundan) ano nayakan ennuuu.enthayalum unniyettante aa mass kanan vendii kattaa waiting.kandavellam parayunnu unniyettan kolaamassaa mamangathil ennuuuu.unniyettan istam.unniyettane istam ollavar like adikan marakalle	Positive
15	15	aaroo oraalalla nammude eattan bigg brother....	unknown_state
16	16	sajeev pilla enna samvidhayakante kanneerinte vilayaanu ee sinima. chathi.	Negative
17	17	mithun ellatharam cinema cheiyunna oru mikacha samvidaayakan aanu  aadu vere level	Positive
18	18	super padam  cute song  ellarum  poli acting  dislike adicha kann adich pottikkum bonney parayan paranju	Positive
19	19	daivame 1 milya9...    ...  ottaperu    moha9laal...	Positive
20	20	padam average filim mathrameyullu fansukar pokkiparayunna rasamonnum padathinnillaa	Mixed_feelings
21	21	ikka phaan aanu..  kurachu varshangalayi laalettante oru padatthinu kaathunilkkunnathu illaathathu. pakshe ithangottu bodhichu. sambhavam kalaraayittund,  eee oonam ittimaanikku swantham ennu pratheekshikkunnu.  oonaashamsakal	Positive
23	23	lalettante adutha  100 kodi ithayirikkumodiyan  enthaaa sheriyalle	unknown_state
25	25	veruthe oru kaaryavum illaathe eee chithratthine nasippikkaan nokkunnavar verutheyalla vettum bhayam kondumathramaanu.. njaan oru mammukka aaraadhakan allah. pakshe parayaathe vayya....	Positive
27	27	oru rakshayilla mass trailer!!!  mammookka 🥰	Positive
28	28	maargamkali paattinte shoot njangalude changaramkulatthaayirunnu arcocke ariyaam....	unknown_state
29	29	lalettan polichu adukki oru rakshyum illaa	Positive
30	30	ithu polikkum..  njangalu trissur kkarude padamaa..  ellavarum poyi kandu polichadakku	Positive
31	31	srk fan movie poly ano 🤔🤔	unknown_state
32	32	entammo eee asuran palathum adichu thakartthitte kalam vidu ennu thonnunnu	Positive
33	33	troll undaakkiyavar  2019 january thottu december vare reelis aaya 12 pattukal kandittu,  eee paatt kandu nokkanam. appo ariyaam vyathyasam !!	Positive
34	34	ente   ikka	Positive
35	35	shhaa4ttu  oori abhinayikkaan pattaattha pramukha nadante   fans  karayunnathu  coment boxil kaanaathe povaruthu  🤣         poojapura nivaasikal	Negative
36	36	kaliyaakkumennu urappundaayittum ....cheyyaan manassu kaanicha ikkak salute...	Positive
37	37	ithoru natturajavu style aarkokke thonni......	unknown_state
38	38	mass ne eru pereyulloo athane ikka	unknown_state
39	39	kochi polee tirssur gundakaludee place aakuoo cinemakarrr.....trailer kollam...	Positive
40	40	ambili kandavroke onnu like adiche kanaathavar onnu kanade povalle nashtaman	Positive
41	41	reapettt mode..on...!!. enne ividenn arenkhillum onn  kondopoko...????	Positive
42	42	oru ghum illaa	Negative
44	44	ente ponnu jojo numma   katta waiting sambhavam polichu ippo mmade malayaala sinima vere levalaanu	Positive
45	45	oru onnuonnara adaru team combination analloo	Positive
46	46	adipoli  ithu takarkkum.  oonam vare kaathirikkaanum raniye kaananum royal mech is waiting	Positive
48	48	njaan parayuka aanenkil  unni mugundhan.... athu eduthittundu.. mindaathe irikka kallan.... onnum  ariyaatha pole... gochu gallan	unknown_state
49	49	age in reverse gear.. ennu parayunnath verthe alla ikkaa..	Positive
50	50	mookkutthi ozhike backie ellaam kanda nammal	unknown_state
51	51	mammookkayude dialogue veendum veenduveendum kelkkaan varunnavar like cheyyu	unknown_state
52	52	ikkaa faansinte vaka vijayashamsakal nerunnu...  njaanoru ikkaa phaan aanu enikku oru 100like‌ taramo eattan phaans‌	Positive
53	53	ee adutha kalathenkilum ee padam erangooo	unknown_state
54	54	sportz kaar nu ee filmil enthokkeyo role und	unknown_state
